"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"nfc-chip";1;"NT3H2111W0FHKH";;;
2;"C2";"C_0603_1608Metric";1;"2p";;;
3;"C1";"C_0603_1608Metric";1;"220n";;;
4;"";"";1;"";;;
5;"R1";"R_0603_1608Metric";1;"65";;;
6;"D1";"LED_0603_1608Metric";1;"RED";;;
7;"ANT1";"COIL_GENERATOR";1;"COIL_GENERATOR";;;
